Algorithm,World,Trial,Total_Time,Path_Length,Deviation_From_Straight,Avg_Velocity,Path_Efficiency,Navigation_Metric,Collision,Recovery_Count,My_Recovery_Count,Avg_Computation_Time,Path_Smoothness,Min_Clearance,Max_Path_Deviation,Control_Effort,Path_Curvature,Avg_Jerk,Path_Overlap
sac,0,1,45.37,7.61,0.963,0.17,1.039,0.202,0,0,6,0.0,420.738,-1,0.993,247.477,60740994.107,3464862.033,452
sac,1,1,57.09,8.71,0.872,0.15,1.147,0.209,0,0,8,0.0,348.462,-1,0.83,104.154,107946603.317,1687246.491,546
sac,2,1,36.41,8.03,0.803,0.22,1.245,0.3072,0,0,0,0.0,38.957,-1,0.123,121.578,7627597.264,2141200.484,146
sac,3,1,29.05,8.08,0.808,0.28,1.237,0.2807,0,0,0,0.0,26.504,-1,0.39,167.706,43552.594,2334463.811,162
sac,4,1,72.62,10.99,1.099,0.15,0.91,0.1259,0,0,10,0.0,1119.21,-1,1.058,260.854,5289711489.909,4513310.088,1277
sac,5,1,22.82,8.03,0.803,0.35,1.245,0.328,0,0,0,0.0,0.794,-1,0.221,82.27,5758.946,1241684.769,21
sac,6,1,36.82,8.24,0.824,0.22,1.213,0.26,0,0,2,0.0,244.757,-1,0.647,131.803,245446409.33,1689247.908,329
sac,7,1,83.61,8.77,0.877,0.1,1.14,0.1773,0,0,10,0.0,642.892,-1,0.766,209.089,185564541.968,3592758.756,840
sac,8,1,31.15,8.39,0.839,0.27,1.193,0.2549,0,0,0,0.0,134.254,-1,0.962,198.862,10386888.212,3071787.467,183
sac,9,1,40.02,8.05,0.805,0.2,1.242,0.3156,0,0,0,0.0,2.394,-1,0.354,157.463,44478.475,2624898.941,31
sac,10,1,57.39,8.18,0.818,0.14,1.222,0.2314,0,0,1,0.0,100.453,-1,0.686,126.525,31394767.736,2464089.619,299
sac,11,1,28.38,8.18,0.818,0.29,1.222,0.2887,0,0,0,0.0,23.248,-1,0.699,180.279,4819864.544,2644466.571,122
sac,12,1,85.11,8.84,0.884,0.1,1.131,0.2217,0,0,10,0.0,79.784,-1,1.023,67.184,10552375.736,1153647.988,361
sac,13,1,46.0,8.24,0.824,0.18,1.214,0.2401,0,0,3,0.0,154.672,-1,0.313,134.152,17011750.001,2247670.024,428
sac,14,1,38.4,8.46,0.846,0.22,1.182,0.2305,0,0,1,0.0,160.823,-1,1.15,199.541,31326785.587,3362827.11,379
sac,15,1,37.7,8.68,0.868,0.23,1.152,0.2326,0,0,0,0.0,92.053,-1,0.711,108.109,115631109.538,1526054.136,288
sac,16,1,52.09,8.92,0.892,0.17,1.121,0.2398,0,0,0,0.0,28.968,-1,1.518,81.983,51258532.854,1576685.793,274
sac,17,1,53.02,8.79,0.879,0.17,1.138,0.2085,0,0,3,0.0,45.601,-1,1.581,51.73,70574.683,742878.9,353
sac,18,1,30.82,8.33,0.833,0.27,1.201,0.2627,0,0,0,0.0,21.773,-1,0.869,55.398,546634.916,888612.825,179
sac,19,1,86.2,9.95,0.995,0.12,1.005,0.2075,0,0,1,0.0,182.959,-1,1.256,245.54,91189487.179,4621575.832,447
sac,20,1,92.55,9.59,0.959,0.1,1.042,0.1262,0,0,21,0.0,796.113,-1,0.966,181.602,12790239416.965,3066543.271,1178
sac,21,1,32.89,8.37,0.837,0.25,1.195,0.2438,0,0,0,0.0,77.944,-1,0.911,136.762,8406764.306,2552994.965,253
sac,22,1,66.9,12.28,1.228,0.18,0.814,0.144,0,0,3,0.0,384.061,-1,0.665,315.945,86377088.692,5725784.765,1042
sac,23,1,79.63,9.29,0.929,0.12,1.076,0.154,0,0,5,0.0,517.648,-1,0.68,182.572,265988996.53,3131251.166,846
sac,24,1,127.28,10.24,1.024,0.08,0.977,0.125,0,0,28,0.0,1179.786,-1,1.024,94.283,376687822.171,1660794.185,1655
sac,25,1,32.48,8.19,0.819,0.25,1.221,0.256,0,0,2,0.0,306.685,-1,0.566,73.102,141619112.206,914534.212,262
sac,26,1,41.28,9.03,0.903,0.22,1.107,0.2362,0,0,0,0.0,54.796,-1,0.601,285.343,43494.646,4999327.242,282
sac,27,1,48.83,8.59,0.859,0.18,1.165,0.2279,0,0,2,0.0,291.101,-1,0.312,79.533,74652436.342,1364626.464,377
sac,28,1,42.57,8.18,0.818,0.19,1.222,0.2554,0,0,0,0.0,114.45,-1,0.629,110.982,109574894.812,1629269.295,169
sac,29,1,26.22,8.47,0.847,0.32,1.181,0.2973,0,0,0,0.0,8.012,-1,1.091,202.287,180646.363,4130411.886,76
sac,30,1,57.92,9.38,0.938,0.16,1.067,0.1946,0,0,3,0.0,427.423,-1,1.337,201.686,230673978.615,3928397.913,512
sac,31,1,26.27,8.3,0.83,0.32,1.205,0.2661,0,0,0,0.0,33.265,-1,0.951,206.217,1452847.524,3282983.983,114
sac,32,1,27.25,8.09,0.809,0.3,1.236,0.3037,0,0,0,0.0,14.44,-1,0.352,98.593,22024.198,1279040.134,47
sac,33,1,68.89,11.28,1.128,0.16,0.886,0.151,0,0,3,0.0,446.194,-1,1.41,151.384,105681045.541,2348193.063,925
sac,34,1,35.53,8.28,0.828,0.23,1.207,0.2426,0,0,0,0.0,66.609,-1,0.748,71.083,3866202.579,898543.778,218
sac,35,1,64.45,8.93,0.893,0.14,1.12,0.1767,0,0,12,0.0,300.146,-1,0.129,127.472,107621601.88,2213261.966,660
sac,36,1,29.29,8.09,0.809,0.28,1.236,0.2553,0,0,0,0.0,10.197,-1,0.203,142.928,23571.701,2201568.139,135
sac,37,1,40.85,8.69,0.869,0.21,1.151,0.2107,0,0,0,0.0,196.831,-1,1.321,175.993,42724937.244,3537379.508,407
sac,38,1,150.02,6.8,0.68,0.05,1.471,0.0,0,0,54,0.0,397.951,-1,1.093,124.261,2147883955.407,2175376.866,2862
sac,39,1,40.19,8.63,0.863,0.21,1.159,0.2125,0,0,1,0.0,164.035,-1,0.285,119.845,23734695.107,1864164.466,390
sac,40,1,24.74,8.01,0.801,0.32,1.249,0.3055,0,0,0,0.0,0.094,-1,0.049,21.891,1687.752,203261.049,7
sac,41,1,25.41,8.03,0.803,0.32,1.245,0.2909,0,0,0,0.0,3.498,-1,0.205,73.019,108.596,1069008.515,47
sac,42,1,26.06,8.01,0.801,0.31,1.249,0.3174,0,0,0,0.0,0.019,-1,0.012,96.186,718726.826,1124052.495,5
sac,43,1,54.37,8.99,0.899,0.17,1.113,0.1816,0,0,5,0.0,438.996,-1,1.196,230.382,103603422.232,3811473.182,588
sac,44,1,90.0,10.48,1.048,0.12,0.954,0.125,0,0,8,0.0,803.516,-1,1.549,141.082,323136318.837,2383069.083,1372
sac,45,1,150.02,12.13,1.213,0.08,0.824,0.0,0,0,31,0.0,825.404,-1,1.904,205.359,223295590.811,3262114.164,3346
sac,46,1,31.1,8.35,0.835,0.27,1.198,0.2436,0,0,0,0.0,35.413,-1,0.997,251.424,15320.986,4384584.027,175
sac,47,1,27.04,8.28,0.828,0.31,1.207,0.2528,0,0,0,0.0,58.165,-1,0.847,110.528,23899678.69,1968288.402,142
sac,48,1,67.81,9.63,0.963,0.14,1.039,0.199,0,0,2,0.0,118.607,-1,1.187,130.335,33075878.308,1963871.606,487
sac,49,1,29.59,8.2,0.82,0.28,1.22,0.281,0,0,0,0.0,119.727,-1,0.399,194.638,6376650.67,4621502.243,142
sac,50,1,115.48,13.5,1.35,0.12,0.741,0.125,0,0,17,0.0,1684.289,-1,0.965,170.885,32479626796.401,2563224.131,2325
sac,51,1,46.02,8.31,0.831,0.18,1.203,0.2409,0,0,1,0.0,96.558,-1,0.78,41.727,33578036.449,630435.25,230
sac,52,1,34.03,8.85,0.885,0.26,1.13,0.2303,0,0,0,0.0,34.413,-1,0.803,207.085,78177.46,3316070.69,194
sac,53,1,35.64,8.36,0.836,0.23,1.196,0.2283,0,0,1,0.0,114.278,-1,1.104,98.341,47911407.884,1552967.286,267
sac,54,1,27.66,8.12,0.812,0.29,1.231,0.2972,0,0,0,0.0,8.208,-1,0.577,157.935,147263.437,2702187.51,47
sac,55,1,65.43,10.61,1.061,0.16,0.942,0.161,0,0,3,0.0,311.545,-1,1.129,161.814,1043798787.758,2783472.99,914
sac,56,1,33.13,8.43,0.844,0.25,1.186,0.2235,0,0,0,0.0,47.636,-1,0.918,176.868,90196.114,2980633.41,252
